"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","listener"
0.366,0.812,11,-4.609,1,0.034,0.00946,0,0.292,0.241,79.962,"audio_features","6ylhMPeBV9kF5dYvBAO2tQ","spotify:track:6ylhMPeBV9kF5dYvBAO2tQ","https://api.spotify.com/v1/tracks/6ylhMPeBV9kF5dYvBAO2tQ","https://api.spotify.com/v1/audio-analysis/6ylhMPeBV9kF5dYvBAO2tQ",320987,4,"Si Han"
0.46,0.509,2,-6.997,1,0.0303,0.289,0.000143,0.351,0.297,115.89,"audio_features","1SnZi2eVU2kcXRNJT6ek4J","spotify:track:1SnZi2eVU2kcXRNJT6ek4J","https://api.spotify.com/v1/tracks/1SnZi2eVU2kcXRNJT6ek4J","https://api.spotify.com/v1/audio-analysis/1SnZi2eVU2kcXRNJT6ek4J",294387,4,"Si Han"
0.263,0.19,0,-15.137,1,0.0302,0.471,0,0.0626,0.233,146.499,"audio_features","4erPpahktk6pMrlxb6VUkB","spotify:track:4erPpahktk6pMrlxb6VUkB","https://api.spotify.com/v1/tracks/4erPpahktk6pMrlxb6VUkB","https://api.spotify.com/v1/audio-analysis/4erPpahktk6pMrlxb6VUkB",290430,4,"Si Han"
0.391,0.568,0,-6.698,1,0.031,0.0477,2.35e-05,0.538,0.129,142.977,"audio_features","23STcG7v9HNwdqnROFSS8n","spotify:track:23STcG7v9HNwdqnROFSS8n","https://api.spotify.com/v1/tracks/23STcG7v9HNwdqnROFSS8n","https://api.spotify.com/v1/audio-analysis/23STcG7v9HNwdqnROFSS8n",409147,4,"Si Han"
0.341,0.275,0,-9.904,1,0.0288,0.814,5.27e-05,0.0962,0.325,89.294,"audio_features","7MAZkVZuVEDZfUOOrty0nu","spotify:track:7MAZkVZuVEDZfUOOrty0nu","https://api.spotify.com/v1/tracks/7MAZkVZuVEDZfUOOrty0nu","https://api.spotify.com/v1/audio-analysis/7MAZkVZuVEDZfUOOrty0nu",236693,4,"Si Han"
0.426,0.388,0,-12.084,1,0.0279,0.166,0,0.102,0.268,75.021,"audio_features","2L6oInj5KFDnxQs9cUIS6Q","spotify:track:2L6oInj5KFDnxQs9cUIS6Q","https://api.spotify.com/v1/tracks/2L6oInj5KFDnxQs9cUIS6Q","https://api.spotify.com/v1/audio-analysis/2L6oInj5KFDnxQs9cUIS6Q",305055,4,"Si Han"
0.335,0.326,0,-7.223,1,0.0331,0.948,0,0.0619,0.326,169.267,"audio_features","632VyMrvhsHIsO4zq9khts","spotify:track:632VyMrvhsHIsO4zq9khts","https://api.spotify.com/v1/tracks/632VyMrvhsHIsO4zq9khts","https://api.spotify.com/v1/audio-analysis/632VyMrvhsHIsO4zq9khts",318499,4,"Si Han"
0.407,0.335,11,-10.01,1,0.032,0.355,0,0.145,0.157,145.977,"audio_features","016DP00vwMNLR10fT8jQka","spotify:track:016DP00vwMNLR10fT8jQka","https://api.spotify.com/v1/tracks/016DP00vwMNLR10fT8jQka","https://api.spotify.com/v1/audio-analysis/016DP00vwMNLR10fT8jQka",243347,4,"Si Han"
0.241,0.29,0,-11.683,1,0.032,0.834,0,0.646,0.364,146.945,"audio_features","7mfLd5ylIoQsOXDlZjPBn6","spotify:track:7mfLd5ylIoQsOXDlZjPBn6","https://api.spotify.com/v1/tracks/7mfLd5ylIoQsOXDlZjPBn6","https://api.spotify.com/v1/audio-analysis/7mfLd5ylIoQsOXDlZjPBn6",256733,3,"Si Han"
0.5,0.291,2,-8.631,1,0.0279,0.68,1.88e-05,0.112,0.188,127.706,"audio_features","5EweZzmxnku4xK98c07Fqc","spotify:track:5EweZzmxnku4xK98c07Fqc","https://api.spotify.com/v1/tracks/5EweZzmxnku4xK98c07Fqc","https://api.spotify.com/v1/audio-analysis/5EweZzmxnku4xK98c07Fqc",246067,4,"Si Han"
